Name,Equat,Polar,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0535,150.8866,56.7401,1.806e-17,1.2e-17,6.102e-18,49.495,-1220.76
FrontDG0536,150.7579,56.8538,1.699e-17,1.265e-17,6.067e-18,54.3439,-1220.64
FrontDG0537,187.3712,74.7271,3.644e-17,2.655e-17,9.329e-18,93.0593,-1425.97
FrontDG0538,187.2535,74.8775,1.12e-17,9.941e-18,4.385e-18,43.7577,-1425.69
FrontDG0539,187.1858,74.5834,1.319e-17,1.112e-17,4.846e-18,59.5324,-1425.93
FrontDG0540,187.3434,74.6065,1.183e-17,9.667e-18,4.241e-18,49.2572,-1425.7
FrontDG0541,187.2417,74.8799,1.255e-17,9.657e-18,4.62e-18,35.8227,-1426.04
FrontDG0542,187.4232,74.6329,1.216e-17,9.903e-18,4.316e-18,49.7668,-1426.05
FrontDG0543,187.3402,74.9072,1.203e-17,1.035e-17,4.754e-18,56.1535,-1426.2
FrontDG0544,187.6021,74.6731,1.314e-17,1.029e-17,4.528e-18,43.508,-1426.16
FrontDG0545,187.6035,74.5743,1.628e-17,1.383e-17,5.762e-18,47.2281,-1425.57
FrontDG0546,187.4335,74.8632,1.347e-17,1.085e-17,5.065e-18,47.2206,-1425.71
FrontDG0547,187.1525,74.8028,1.126e-17,1.012e-17,4.485e-18,45.5548,-1426.35
FrontDG0548,187.386,74.9817,1.713e-17,1.487e-17,5.533e-18,52.3373,-1425.84
FrontDG0549,187.2318,74.7866,1.172e-17,9.832e-18,4.746e-18,59.5612,-1426.16
FrontDG0708,222.8293,84.823,1.67e-17,1.321e-17,5.813e-18,147.371,-991.6
FrontDG0709,222.8879,84.7031,2.32e-17,2.021e-17,8.945e-18,52.0935,-992.0
FrontDG0710,222.8553,85.0108,2.402e-17,2.016e-17,8.849e-18,82.0566,-991.81
FrontDG0711,222.7801,84.7296,2.153e-17,1.932e-17,8.732e-18,65.662,-991.85
FrontDG0712,222.7047,84.7098,2.13e-17,2.022e-17,9.009e-18,78.4836,-991.69
FrontDG0713,222.6086,84.8306,2.671e-17,2.038e-17,8.75e-18,74.4108,-991.82
FrontDG0714,222.7743,84.8797,2.776e-17,2.064e-17,1.014e-17,67.0197,-991.86
FrontDG0743,144.7942,108.2979,1.376e-17,1.053e-17,4.822e-18,46.1412,-1252.49
FrontDG0744,144.8304,108.3463,1.94e-17,1.344e-17,6.661e-18,55.2886,-1252.48
FrontDG0745,144.8182,108.2505,1.95e-17,1.597e-17,7.115e-18,69.0689,-1252.36
FrontDG0748,163.6693,88.2093,3.472e-17,2.788e-17,1.004e-17,110.8627,-1450.33
FrontDG0749,163.5644,88.4408,1.889e-17,1.578e-17,6.515e-18,48.1217,-1450.71
FrontDG0750,163.4258,88.1068,1.395e-17,1.109e-17,5.335e-18,58.0064,-1450.15
FrontDG0751,163.6915,88.0449,9.65e-18,7.159e-18,3.387e-18,58.349,-1450.18
FrontDG0752,163.7772,88.4536,1.219e-17,1.04e-17,4.524e-18,43.1328,-1450.32
FrontDG0753,163.8066,88.2571,1.279e-17,1.059e-17,4.672e-18,51.586,-1450.52
FrontDG0754,163.6782,88.2464,9.199e-18,8.756e-18,4.286e-18,88.6325,-1450.17
FrontDG0755,163.7272,88.0745,1.242e-17,1.062e-17,4.904e-18,69.0399,-1450.63
FrontDG0756,163.5397,88.0794,1.244e-17,1.156e-17,4.367e-18,47.9479,-1450.57
FrontDG0757,163.9046,88.3304,1.209e-17,1.032e-17,4.693e-18,46.5307,-1450.23
FrontDG0758,163.9015,88.1804,1.229e-17,1.218e-17,5.317e-18,57.6576,-1450.38
FrontDG0759,163.6158,87.9687,1.409e-17,1.159e-17,5.593e-18,56.6448,-1450.2
FrontDG0760,163.6552,88.2716,1.368e-17,1.147e-17,5.655e-18,50.9941,-1450.39
FrontDG0814,197.6318,115.1871,7.595e-18,5.714e-18,3.181e-18,101.6148,-1558.02
FrontDG0815,197.6998,115.0795,1.057e-17,9.947e-18,4.296e-18,44.1687,-1557.81
FrontDG0816,197.7517,115.1752,1.267e-17,1.022e-17,4.68e-18,49.465,-1557.65
FrontDG0817,197.4825,115.1005,1.577e-17,1.328e-17,5.776e-18,44.6322,-1557.67
FrontDG0818,197.6448,115.1127,1.176e-17,9.939e-18,4.326e-18,53.7445,-1557.65
FrontDG0819,197.7364,115.3071,1.087e-17,8.388e-18,4.265e-18,44.7948,-1557.44
FrontDG0820,197.6202,115.1716,1.223e-17,1.024e-17,4.683e-18,50.1355,-1557.59
FrontDG0821,181.0466,100.0012,5.675e-17,4.258e-17,1.377e-17,107.3784,-1173.99
FrontDG0822,181.0508,100.1422,2.153e-17,1.54e-17,7.248e-18,57.0587,-1173.93
FrontDG0823,181.2384,100.0873,1.816e-17,1.515e-17,6.499e-18,66.0666,-1174.06
FrontDG0824,180.9472,100.129,2.837e-17,2.119e-17,9.001e-18,62.0221,-1174.56
FrontDG0825,181.2776,100.0833,1.54e-17,1.159e-17,5.185e-18,73.1013,-1174.5
FrontDG0826,180.8871,100.0184,1.925e-17,1.751e-17,7.605e-18,87.3983,-1174.14
FrontDG0827,181.1474,99.8901,1.692e-17,1.506e-17,7.175e-18,49.1018,-1174.24
FrontDG0828,181.2328,99.9759,1.942e-17,1.507e-17,7.605e-18,60.8455,-1174.02
FrontDG0829,181.0156,100.2384,2.017e-17,1.622e-17,7.117e-18,59.3929,-1174.01
FrontDG0830,180.9368,99.7917,1.787e-17,1.486e-17,7.105e-18,52.3043,-1174.22
FrontDG0831,180.9275,99.9197,1.509e-17,1.32e-17,5.764e-18,107.6717,-1174.21
FrontDG0840,185.9294,120.7215,1.057e-17,8.151e-18,3.806e-18,100.4013,-1362.95
FrontDG0841,186.0048,120.7114,1.653e-17,1.298e-17,5.607e-18,58.8289,-1363.1
FrontDG0842,185.8678,120.8671,1.412e-17,1.111e-17,5.585e-18,47.7478,-1362.83
FrontDG0843,185.7749,120.5554,1.368e-17,1.145e-17,4.767e-18,40.5645,-1363.0
FrontDG0844,185.8047,120.6041,9.035e-18,7.921e-18,3.664e-18,69.2333,-1363.12
FrontDG0845,185.9084,120.5927,9.905e-18,8.299e-18,3.663e-18,65.809,-1362.94
FrontDG0846,186.0598,120.5473,1.377e-17,1.115e-17,5.048e-18,49.1292,-1362.82
FrontDG0847,186.1113,120.7636,1.378e-17,1.214e-17,5.273e-18,51.382,-1363.23
FrontDG0977,139.8455,55.7686,2.594e-17,1.785e-17,6.779e-18,134.8024,-1701.71
FrontDG0978,140.0046,55.7196,6.964e-18,5.939e-18,2.569e-18,82.4658,-1701.56
FrontDG0979,139.8624,55.5919,8.741e-18,7.177e-18,3.34e-18,39.9794,-1701.62
FrontDG0980,140.1341,55.7981,6.048e-18,5.141e-18,2.401e-18,35.6785,-1701.86
FrontDG0981,139.6999,55.8638,9.098e-18,7.218e-18,3.245e-18,30.9213,-1701.7
FrontDG0982,139.7827,55.8739,8.93e-18,7.906e-18,3.351e-18,32.4783,-1701.35
FrontDG0983,139.7598,55.6672,5.819e-18,4.979e-18,2.256e-18,43.3993,-1701.37
FrontDG0984,139.8595,55.9672,5.917e-18,5.17e-18,2.338e-18,49.6102,-1701.81
FrontDG0985,139.7861,55.7042,8.691e-18,7.018e-18,3.521e-18,38.654,-1701.69
FrontDG0986,140.001,55.8725,1.312e-17,9.631e-18,4.347e-18,41.273,-1701.47
FrontDG0987,140.0825,55.8042,7.864e-18,6.408e-18,3.206e-18,38.9849,-1701.95
FrontDG0988,139.8062,55.8683,9.546e-18,7.581e-18,3.924e-18,42.212,-1701.8
FrontDG0989,139.5338,55.7547,8.627e-18,6.708e-18,3.104e-18,37.413,-1702.07
FrontDG0990,139.5832,55.7937,9.329e-18,8.084e-18,3.79e-18,44.9069,-1701.98
FrontDG0991,139.9075,55.934,8.598e-18,8.033e-18,3.855e-18,45.1276,-1701.87
FrontDG1018,206.8345,62.3696,1.619e-17,1.306e-17,6.055e-18,73.8867,-1054.29
FrontDG1019,206.7698,62.4267,1.678e-17,1.418e-17,5.944e-18,122.7746,-1054.24
FrontDG1020,206.8227,62.443,2.352e-17,2.022e-17,9.081e-18,76.1062,-1054.41
FrontDG1021,185.9173,97.8452,9.296e-18,7.643e-18,3.338e-18,59.2182,-1388.95
FrontDG1125,145.954,102.8005,1.51e-17,1.272e-17,5.983e-18,141.3439,-1052.43
FrontDG1126,145.9765,102.9968,1.578e-17,1.274e-17,5.451e-18,81.9477,-1052.94
FrontDG1127,145.898,102.979,2.349e-17,1.903e-17,8.799e-18,68.3725,-1052.96
FrontDG1128,145.7974,102.8127,2.182e-17,1.765e-17,7.563e-18,59.6904,-1052.7
FrontDG1129,145.8865,102.7412,2.195e-17,1.598e-17,7.978e-18,72.1878,-1052.8
FrontDG1130,146.1472,102.9214,1.952e-17,1.823e-17,7.845e-18,71.5243,-1052.55
FrontDG1131,145.9567,102.9985,2.236e-17,1.798e-17,7.974e-18,61.2643,-1052.72
FrontDG1132,146.0116,102.7275,2.168e-17,1.785e-17,8.047e-18,67.3149,-1052.96
FrontDG1133,197.0287,112.8714,3.143e-17,2.803e-17,8.72e-18,140.8969,-1589.19
FrontDG1134,197.0944,112.6699,1.029e-17,9.007e-18,4.008e-18,47.6799,-1589.36
FrontDG1135,196.808,112.8993,1.411e-17,1.035e-17,4.997e-18,51.218,-1589.45
FrontDG1136,196.9456,113.1005,9.773e-18,9.182e-18,4.369e-18,47.5111,-1589.48
FrontDG1137,196.8544,112.7512,1.052e-17,9.099e-18,4.461e-18,41.2076,-1589.46
FrontDG1138,197.2312,112.901,1.171e-17,1.035e-17,4.177e-18,53.3191,-1589.31
FrontDG1139,196.8038,112.8102,1.116e-17,9.526e-18,4.199e-18,47.6717,-1589.71
FrontDG1140,197.2929,112.7779,1.643e-17,1.328e-17,5.101e-18,46.6677,-1589.47
FrontDG1141,196.9525,112.7308,1.296e-17,1.062e-17,4.254e-18,66.6767,-1589.35
FrontDG1142,196.9229,112.7086,1.163e-17,1.106e-17,4.605e-18,51.1138,-1589.56
FrontDG1143,196.9763,112.8587,7.451e-18,5.621e-18,3.045e-18,94.6334,-1589.52
FrontDG1144,186.4475,118.2417,8.607e-18,6.897e-18,3.186e-18,75.311,-1414.32
FrontDG1145,186.4161,118.1416,1.377e-17,1.058e-17,5.043e-18,54.0491,-1414.14
FrontDG1146,186.5632,118.2752,1.306e-17,1.115e-17,5.361e-18,49.6077,-1414.58
FrontDG1147,186.413,118.352,1.401e-17,1.108e-17,5.172e-18,58.7608,-1414.54
FrontDG1148,186.314,118.2746,1.199e-17,1.026e-17,4.588e-18,42.3087,-1414.22
FrontDG1149,224.5119,64.5163,9.992e-18,8.65e-18,3.571e-18,64.3755,-1322.42
FrontDG1342,157.3798,104.4177,1.934e-17,1.572e-17,7.126e-18,173.5488,-890.43
FrontDG1343,157.2201,104.3159,2.866e-17,2.298e-17,1.003e-17,70.3407,-890.32
FrontDG1344,157.6035,104.5957,4.166e-17,3.019e-17,1.337e-17,67.6656,-890.33
FrontDG1345,157.5686,104.2823,3.068e-17,2.545e-17,1.189e-17,91.9069,-890.19
FrontDG1346,157.1978,104.3579,2.98e-17,2.185e-17,1.004e-17,73.005,-890.32
FrontDG1347,157.1044,104.3547,2.731e-17,2.315e-17,1.078e-17,68.9548,-890.35
FrontDG1348,157.1682,104.4143,4.2e-17,3.705e-17,1.335e-17,81.9782,-890.31
FrontDG1349,217.7259,95.9801,3.886e-17,3.34e-17,1.087e-17,139.9061,-1399.47
FrontDG1350,217.5941,96.2975,1.547e-17,1.225e-17,5.268e-18,47.4931,-1399.24
FrontDG1351,217.5054,95.908,1.853e-17,1.597e-17,6.63e-18,53.8958,-1399.74
FrontDG1352,217.7802,95.6781,1.007e-17,8.295e-18,4.03e-18,82.0272,-1399.45
FrontDG1353,217.5955,96.3427,1.436e-17,1.181e-17,4.827e-18,50.4296,-1399.67
FrontDG1354,217.5845,95.5546,1.518e-17,1.221e-17,5.6e-18,67.0848,-1399.61
FrontDG1355,217.5776,96.0955,1.577e-17,1.124e-17,5.71e-18,59.5859,-1399.95
FrontDG1356,217.2034,95.9335,1.482e-17,1.286e-17,6.229e-18,49.6154,-1399.7
FrontDG1357,217.3926,96.0787,9.979e-18,8.192e-18,3.816e-18,82.1645,-1399.43
FrontDG1358,217.6423,96.3618,9.325e-18,7.757e-18,3.622e-18,60.3043,-1399.89
FrontDG1359,217.5008,96.1123,1.503e-17,1.301e-17,5.774e-18,51.1286,-1400.0
FrontDG1360,217.6231,96.3108,1.5e-17,1.272e-17,6.113e-18,51.4606,-1399.67
FrontDG1361,217.486,96.1406,1.15e-17,9.622e-18,4.226e-18,98.0852,-1399.35
FrontDG1362,217.8679,95.8771,1.537e-17,1.278e-17,6.07e-18,62.6233,-1399.5
FrontDG1363,217.8419,96.1667,1.352e-17,1.099e-17,4.994e-18,45.9168,-1399.42
FrontDG1364,218.0881,95.9617,1.635e-17,1.156e-17,5.332e-18,59.9578,-1399.67
FrontDG1365,217.6728,96.2006,1.446e-17,1.125e-17,4.832e-18,56.6406,-1399.67
FrontDG1366,217.4945,95.7022,9.961e-18,7.685e-18,3.805e-18,46.9077,-1399.64
FrontDG1367,218.0856,95.7463,1.424e-17,1.146e-17,5.319e-18,45.8933,-1399.62
FrontDG1368,217.6134,95.8933,1.482e-17,1.136e-17,5.763e-18,62.7707,-1399.9
FrontDG1369,217.9269,95.6438,1.501e-17,9.862e-18,5.355e-18,47.283,-1399.62
FrontDG1370,217.7732,95.9458,9.506e-18,8.564e-18,4.065e-18,131.7234,-1399.28
FrontDG1371,218.031,96.3903,1.608e-17,1.35e-17,6.264e-18,49.4465,-1399.76
FrontDG1372,217.2808,95.7204,1.328e-17,1.075e-17,5.718e-18,53.9205,-1399.26
FrontDG1373,216.6761,78.9761,2.731e-17,1.928e-17,9.694e-18,76.044,-1018.13
FrontDG1374,216.578,78.8818,3.223e-17,2.708e-17,1.208e-17,70.2678,-1018.14
FrontDG1375,216.6886,78.9276,2.398e-17,1.853e-17,8.507e-18,69.8192,-1018.31
FrontDG1376,216.7147,78.9131,2.185e-17,2.113e-17,7.699e-18,64.0001,-1018.06
FrontDG1397,218.6036,83.364,7.392e-18,6.26e-18,2.838e-18,49.0863,-1655.92
BackDG0050,349.554,121.1013,8.485e-18,7.266e-18,3.064e-18,110.489,-1493.96
BackDG0051,349.6355,121.2221,1.178e-17,9.976e-18,4.07e-18,44.4239,-1493.93
BackDG0052,349.4943,121.1121,1.27e-17,9.513e-18,5.255e-18,52.2977,-1494.05
BackDG0053,349.4033,121.0376,1.311e-17,1.08e-17,4.945e-18,57.9153,-1493.85
BackDG0054,349.5339,120.9924,8.319e-18,7.351e-18,3.251e-18,53.0088,-1493.76
BackDG0055,349.4371,120.9649,1.187e-17,1.032e-17,4.557e-18,59.742,-1493.83
BackDG0056,349.5307,121.1677,1.231e-17,9.589e-18,4.681e-18,49.7761,-1493.71
BackDG0057,349.4053,121.0522,1.138e-17,1.055e-17,4.393e-18,56.7054,-1494.27
BackDG0060,14.7507,128.8804,2.953e-17,2.235e-17,7.495e-18,113.9771,-1653.68
BackDG0061,14.3624,128.9292,1.173e-17,9.48e-18,4.509e-18,44.1836,-1653.49
BackDG0062,14.4678,128.5434,1.164e-17,9.491e-18,4.249e-18,40.0076,-1653.82
BackDG0063,14.7464,128.6859,5.935e-18,5.039e-18,2.571e-18,58.1681,-1653.22
BackDG0064,14.444,128.6341,1.005e-17,9.188e-18,3.541e-18,40.4713,-1653.4
BackDG0065,14.389,129.1296,1.079e-17,8.813e-18,3.611e-18,57.7982,-1653.29
BackDG0066,15.1989,128.6853,1.48e-17,1.201e-17,4.462e-18,44.993,-1653.33
BackDG0067,15.0665,128.7293,1.065e-17,9.8e-18,4.345e-18,48.8066,-1653.43
BackDG0068,14.9565,128.7906,1.106e-17,8.85e-18,4.873e-18,40.3505,-1653.51
BackDG0069,14.763,128.868,6.815e-18,5.942e-18,2.644e-18,120.4825,-1653.76
BackDG0070,15.2263,129.1196,1.004e-17,8.48e-18,3.842e-18,42.3046,-1653.71
BackDG0071,14.4692,128.7123,6.797e-18,5.854e-18,2.583e-18,51.9546,-1653.45
BackDG0072,14.5014,128.9391,9.884e-18,7.964e-18,3.862e-18,39.0872,-1653.4
BackDG0073,14.9881,129.0692,7.187e-18,5.63e-18,2.64e-18,63.6242,-1653.53
BackDG0074,14.6227,128.5213,7.292e-18,6.582e-18,2.835e-18,44.1905,-1653.54
BackDG0075,14.7903,128.9165,6.98e-18,5.414e-18,2.814e-18,92.7411,-1653.29
BackDG0076,14.7062,128.9889,6.873e-18,5.543e-18,2.533e-18,84.3906,-1653.4
BackDG0077,14.3771,129.1713,1.003e-17,8.698e-18,3.792e-18,42.8442,-1653.74
BackDG0078,15.1303,128.9463,1.155e-17,9.064e-18,4.256e-18,44.4874,-1653.7
BackDG0079,14.9723,128.6259,6.691e-18,5.576e-18,2.369e-18,53.1508,-1653.59
BackDG0080,14.6867,128.5941,6.74e-18,5.82e-18,2.807e-18,74.2,-1653.87
BackDG0081,14.4733,128.5373,9.571e-18,8.593e-18,4.018e-18,38.3243,-1653.15
BackDG0082,14.2545,128.7232,1.053e-17,9.532e-18,4.502e-18,48.694,-1653.61
BackDG0122,18.4352,105.2292,7.219e-18,5.523e-18,2.838e-18,77.77,-1644.63
BackDG0123,18.3159,105.2673,1.036e-17,7.972e-18,3.468e-18,42.611,-1644.55
BackDG0124,18.297,105.2818,9.526e-18,8.632e-18,3.901e-18,56.5156,-1644.87
BackDG0125,18.3537,105.1865,9.695e-18,8.17e-18,3.546e-18,46.4831,-1644.7
BackDG0126,18.4879,105.0932,1.26e-17,1.1e-17,4.989e-18,45.284,-1644.92
BackDG0127,18.477,105.1715,1.152e-17,8.587e-18,4.286e-18,54.099,-1644.88
BackDG0128,18.4042,105.1943,9.845e-18,8.402e-18,3.926e-18,43.6658,-1645.06
BackDG0129,18.3727,105.2218,1.023e-17,8.111e-18,3.549e-18,40.5083,-1644.94
BackDG0145,354.2893,46.0341,6.458e-18,5.645e-18,2.49e-18,44.5759,-1754.91
BackDG0187,42.2699,124.3711,2.813e-17,2.327e-17,8.347e-18,155.3255,-1576.14
BackDG0188,42.5524,124.4258,1.119e-17,9.492e-18,4.308e-18,54.0896,-1576.54
BackDG0189,42.2617,124.2535,1.063e-17,8.698e-18,4.037e-18,43.4268,-1576.38
BackDG0190,42.4523,124.2631,1.161e-17,9.266e-18,4.098e-18,53.8017,-1576.56
BackDG0191,42.1956,124.2861,1.08e-17,9.42e-18,3.692e-18,46.3186,-1576.51
