,level_0,Name,Period,index,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,TotalF,AbsMag,Distance
27,41,b'BackS018742',53.06479859894922,942,b'BackS018742',37.5199,34.535,6.347e-14,4.875e-14,2.088e-14,0.001,113.44,1,1.331e-13,-4.37296445551401,29.48020248998468
28,50,b'BackS018846',52.452394691286784,1042,b'BackS018846',37.6678,34.664,8.134e-14,7.113e-14,3.808e-14,0.001,112.67,1,1.9055e-13,-4.337274284523314,25.429419917331455
29,53,b'BackS018886',56.77701436602124,1078,b'BackS018886',37.5203,34.5452,2.263e-14,2.413e-14,2e-14,0.0,113.3,1,6.676e-14,-4.5893079729596735,32.66384849784775
30,54,b'BackS018908',54.7260686333534,1095,b'BackS018908',37.4902,34.5082,5.714e-14,5.106e-14,2.958e-14,0.0,114.01,1,1.3778e-13,-4.469781296242413,25.767301946655053
31,56,b'BackS018916',56.2152133580705,1102,b'BackS018916',37.473,34.5054,5.905e-14,4.838e-14,2.447e-14,0.001,113.96,1,1.319e-13,-4.5565668787477795,23.954307960338866
32,64,b'BackS019038',54.46375074895146,1189,b'BackS019038',37.3537,34.5058,5.082e-14,4.804e-14,3.116e-14,0.0,113.41,1,1.3001999999999999e-13,-4.454493722092277,27.03657284393333
33,67,b'BackS019073',55.80110497237568,1216,b'BackS019073',37.3717,34.3196,4.037e-14,4.216e-14,3.368e-14,0.0,113.83,1,1.1621000000000002e-13,-4.532433134809823,26.383543954831897
34,69,b'BackS019208',50.69715560513106,1259,b'BackS019208',26.7563,29.0543,8.105e-14,6.246e-14,2.679e-14,0.0,114.19,1,1.7030000000000002e-13,-4.234981039280042,30.528712599014742
35,70,b'BackS019445',56.63551401869159,1314,b'BackS019445',26.8105,29.0549,2.991e-14,2.292e-14,9.631e-15,0.0,113.79,1,6.2461e-14,-4.581061501099761,33.83466982632052
36,72,b'BackS019518',52.331606217616574,1353,b'BackS019518',26.8441,29.0446,6.342e-14,5.244e-14,2.687e-14,-0.0,115.69,1,1.4273e-13,-4.330234876013577,29.857347342847945
37,73,b'BackS019538',52.94117647058823,1365,b'BackS019538',26.8206,29.0583,6.935e-14,5.603e-14,2.613e-14,-0.001,112.81,1,1.5151000000000003e-13,-4.3657599049808855,27.727437579584127
38,75,b'BackS019642',54.59459459459459,1418,b'BackS019642',26.8427,29.0563,5.55e-14,4.555e-14,2.217e-14,-0.0,115.21,1,1.2322e-13,-4.462119145714912,27.52302955490871
39,77,b'BackS019659',52.452394691286784,1428,b'BackS019659',26.844,29.0565,7.468e-14,5.752e-14,2.529e-14,0.0,115.24,1,1.5749000000000002e-13,-4.337274284523314,28.27830791268173
40,78,b'BackS019667',53.43915343915343,1433,b'BackS019667',26.8028,29.047,5.75e-14,4.482e-14,1.913e-14,0.0,114.41,1,1.2144999999999998e-13,-4.394781410126664,29.982881535753716
41,81,b'BackS019735',50.92436974789916,1459,b'BackS019735',26.7905,29.057,6.971e-14,5.256e-14,2.207e-14,-0.001,113.99,1,1.4434e-13,-4.248222809140479,32.77637479958297
42,88,b'BackS019855',53.188999414862494,1534,b'BackS019855',26.7706,29.1128,4.814e-14,3.733e-14,1.563e-14,0.001,113.49,1,1.0109999999999999e-13,-4.380202731269057,33.40947409683896
43,94,b'BackS019897',49.48285247686445,1574,b'BackS019897',26.7517,29.0254,1.102e-13,8.444e-14,3.583e-14,-0.002,114.5,1,2.3047000000000003e-13,-4.164212897960046,28.48521086391602
44,98,b'BackS019922',53.188999414862494,1597,b'BackS019922',26.8987,28.969,5.381e-14,5.472e-14,4.133e-14,-0.001,115.86,1,1.4985999999999998e-13,-4.380202731269057,27.594694477264074
45,101,b'BackS019948',55.39305301645338,1623,b'BackS019948',26.8521,29.1675,5.512e-14,4.959e-14,2.886e-14,0.0,114.1,1,1.3357e-13,-4.508652352391984,25.002116222045974
46,104,b'BackS019986',53.188999414862494,1658,b'BackS019986',26.7137,29.1504,7.448e-14,6.09e-14,3.015e-14,-0.0,113.64,1,1.6553e-13,-4.380202731269057,26.15712381041193
47,121,b'BackS020295',54.85817742908872,1877,b'BackS020295',32.2127,35.465,5.042e-14,4.224e-14,2.16e-14,0.0,110.62,1,1.1426e-13,-4.477480439651158,28.080046679107657
48,122,b'BackS020402',53.69167158889545,1931,b'BackS020402',32.2048,35.4885,7.324e-14,5.76e-14,2.56e-14,-0.0,110.99,1,1.5644e-13,-4.409497867402301,26.003980074319713
49,124,b'BackS020420',52.69565217391304,1946,b'BackS020420',32.2076,35.4583,6.915e-14,5.824e-14,2.866e-14,-0.0,111.77,1,1.5605e-13,-4.351451041139445,27.648004805134118
50,125,b'BackS020466',51.85396463205932,1968,b'BackS020466',32.205,35.4993,7.061e-14,5.335e-14,2.213e-14,0.001,110.14,1,1.4609e-13,-4.30239849279082,30.565643378886808
51,127,b'BackS020538',53.06479859894922,1999,b'BackS020538',32.2745,35.41,7.179e-14,6.846e-14,4.35e-14,-0.0,110.62,1,1.8375e-13,-4.37296445551401,24.877075535887563
52,128,b'BackS020577',55.25835866261397,2017,b'BackS020577',32.523,35.3476,5.083e-14,3.895e-14,1.62e-14,-0.001,111.89,1,1.0598e-13,-4.500802525733693,28.46721662111316
53,129,b'BackS020585',54.07495538370018,2020,b'BackS020585',32.2195,35.0738,6.456e-14,6.039e-14,3.694e-14,0.001,111.58,1,1.6188999999999998e-13,-4.4318351908638025,24.75140689814448
54,130,b'BackS020643',51.26903553299493,2032,b'BackS020643',32.197,35.6444,1.02e-13,7.927e-14,3.45e-14,-0.0,111.45,1,2.1577e-13,-4.268309520950768,26.078992558899294
55,131,b'BackS020859',51.03874227961819,2090,b'BackS020859',32.1454,35.8553,9.641e-14,7.596e-14,3.274e-14,-0.0,110.69,1,2.0511e-13,-4.254888304188137,27.055986270592612
56,133,b'BackS021403',54.46375074895146,2254,b'BackS021403',32.1653,35.6046,5.497e-14,4.761e-14,2.59e-14,0.001,111.58,1,1.2848e-13,-4.454493722092277,27.158391727936948
57,134,b'BackS021467',51.85396463205932,2272,b'BackS021467',32.2905,35.585,9.23e-14,7.774e-14,4.066e-14,-0.0,111.71,1,2.107e-13,-4.30239849279082,25.32086194988443
58,135,b'BackS021520',52.21137277426766,2288,b'BackS021520',38.1693,28.72,8.56e-14,7.445e-14,3.997e-14,0.0,112.35,1,2.0002000000000002e-13,-4.32322781401049,25.261186310885833
59,136,b'BackS021775',52.57374204742626,2359,b'BackS021775',38.1065,28.6573,6.295e-14,4.82e-14,2.113e-14,-0.0,113.72,1,1.3228e-13,-4.344346264038301,30.64102921130223
60,137,b'BackS021787',55.25835866261397,2364,b'BackS021787',38.1708,28.6972,4.498e-14,3.404e-14,1.46e-14,-0.0,112.49,1,9.362e-14,-4.500802525733693,30.451168429492697
61,138,b'BackS021812',54.7260686333534,2376,b'BackS021812',38.136,28.7164,4.775e-14,3.686e-14,1.515e-14,0.0,113.7,1,9.976000000000001e-14,-4.469781296242413,30.327156083664267
62,139,b'BackS021895',52.94117647058823,2418,b'BackS021895',38.1866,28.718,8.153e-14,6.596e-14,3.129e-14,-0.0,112.19,1,1.7878000000000002e-13,-4.3657599049808855,25.55522588182776
63,142,b'BackS022070',51.5014164305949,2518,b'BackS022070',38.0518,28.6606,8.51e-14,6.801e-14,3.063e-14,0.0,113.74,1,1.8373999999999998e-13,-4.281852403134476,27.719628849110723
64,156,b'BackS022171',54.85817742908872,2617,b'BackS022171',37.9318,28.6469,3.797e-14,3.978e-14,3.092e-14,-0.0,113.75,1,1.0867e-13,-4.477480439651158,28.93526011171212
65,159,b'BackS022186',51.97255574614066,2631,b'BackS022186',37.9942,28.5467,8.399e-14,6.762e-14,3.096e-14,-0.001,113.57,1,1.8257e-13,-4.3093098417985285,26.93441180775547
66,165,b'BackS022284',57.06214689265536,2706,b'BackS022284',38.026,28.5931,3.574e-14,3.861e-14,3.272e-14,-0.001,113.68,1,1.0707e-13,-4.605925157310153,25.333052347250973
67,169,b'BackS022388',55.93846153846154,2784,b'BackS022388',35.8997,39.1124,3.927e-14,3.038e-14,1.326e-14,-0.0,113.63,1,8.291e-14,-4.540438112029859,30.7954857807721
68,172,b'BackS022792',53.188999414862494,2908,b'BackS022792',35.919,39.1338,1.028e-13,8.236e-14,3.768e-14,0.0,113.72,1,2.2284e-13,-4.380202731269057,22.492641712830117
69,174,b'BackS022852',54.46375074895146,2946,b'BackS022852',35.8804,39.0669,5.86e-14,4.597e-14,1.984e-14,-0.0,113.0,1,1.2441e-13,-4.454493722092277,27.638590230170276
70,181,b'BackS023060',52.94117647058823,3074,b'BackS023060',35.7442,38.9342,9.035e-14,7.237e-14,3.301e-14,0.0,113.06,1,1.9573e-13,-4.3657599049808855,24.3972435250853
71,182,b'BackS023064',55.52840562003666,3078,b'BackS023064',36.0462,39.2925,5.845e-14,5.393e-14,3.339e-14,-0.0,113.71,1,1.4577e-13,-4.516540541062042,23.758253904407773
72,186,b'BackS023090',55.93846153846154,3102,b'BackS023090',35.9188,39.3489,4.644e-14,4.208e-14,2.458e-14,-0.0,113.72,1,1.1310000000000002e-13,-4.540438112029859,26.166345915728538
73,188,b'BackS023120',52.94117647058823,3128,b'BackS023120',35.7531,38.9771,8.312e-14,7.752e-14,4.746e-14,0.0,113.17,1,2.0810000000000002e-13,-4.3657599049808855,23.572908230303284
74,191,b'BackS023137',53.06479859894922,3143,b'BackS023137',35.7662,38.9134,7.701e-14,6.378e-14,3.118e-14,0.001,113.1,1,1.7197e-13,-4.37296445551401,25.773625560273736
75,194,b'BackS023180',53.818827708703374,3178,b'BackS023180',35.8013,39.2352,9.113e-14,7.464e-14,3.653e-14,-0.0,113.63,1,2.023e-13,-4.416908374751578,22.64957187063976
76,195,b'BackS023214',54.07495538370018,3191,b'BackS023214',34.7736,30.348,6.549e-14,5.708e-14,3.164e-14,-0.0,110.41,1,1.5421e-13,-4.4318351908638025,25.458946143172266
77,198,b'BackS023278',52.57374204742626,3226,b'BackS023278',34.7548,30.3234,8.851e-14,6.734e-14,2.786e-14,-0.0,110.6,1,1.8370999999999998e-13,-4.344346264038301,25.923301561158542
78,199,b'BackS023312',54.85817742908872,3248,b'BackS023312',34.8412,30.3111,5e-14,3.762e-14,1.537e-14,0.0,110.35,1,1.0299000000000001e-13,-4.477480439651158,29.754344331499883
79,201,b'BackS023382',52.452394691286784,3281,b'BackS023382',34.7921,30.325,1.009e-13,8.363e-14,4.325e-14,0.0,110.94,1,2.2778e-13,-4.337274284523314,23.452103887656293
80,205,b'BackS023925',53.188999414862494,3447,b'BackS023925',34.4423,30.112,7.818e-14,6.486e-14,3.196e-14,0.0,109.96,1,1.75e-13,-4.380202731269057,25.346042700892855
81,206,b'BackS024169',53.69167158889545,3524,b'BackS024169',35.1145,30.4332,8.008e-14,6.215e-14,2.763e-14,0.0,109.41,1,1.6986e-13,-4.409497867402301,25.034014521081712
82,207,b'BackS024201',54.990925589836664,3534,b'BackS024201',34.6178,30.0393,3.525e-14,3.78e-14,3.091e-14,0.001,109.77,1,1.0395999999999999e-13,-4.485216844492006,29.42020386661397
83,208,b'BackS024220',53.818827708703374,3541,b'BackS024220',34.6429,30.3271,8.384e-14,6.548e-14,2.902e-14,-0.0,109.59,1,1.7834000000000003e-13,-4.416908374751578,24.18195881948948
84,209,b'BackS024324',53.946587537091986,3567,b'BackS024324',34.9734,30.3962,7.562e-14,6.305e-14,3.083e-14,0.0,109.89,1,1.695e-13,-4.424354065518536,24.433204040977092
85,210,b'BackS024808',56.07649599012956,3708,b'BackS024808',32.2069,37.79,2.613e-14,2.688e-14,2.101e-14,-0.0,117.73,1,7.402000000000001e-14,-4.548482595614955,32.43725313588713
86,211,b'BackS024837',52.452394691286784,3718,b'BackS024837',32.2147,37.7976,7.741e-14,6.978e-14,4.129e-14,-0.0,117.6,1,1.8848e-13,-4.337274284523314,25.674226909002325
87,214,b'BackS024940',54.59459459459459,3771,b'BackS024940',32.2169,37.7856,6.617e-14,5.443e-14,2.655e-14,-0.0,117.76,1,1.4715e-13,-4.462119145714912,25.178001784184747
88,217,b'BackS025006',54.59459459459459,3808,b'BackS025006',32.2266,37.8319,4.453e-14,4.254e-14,2.921e-14,0.001,116.09,1,1.1628e-13,-4.462119145714912,28.48011144246212
89,218,b'BackS025011',50.69715560513106,3813,b'BackS025011',32.2273,37.8199,7.881e-14,6.08e-14,2.593e-14,0.001,116.88,1,1.6554e-13,-4.234981039280042,30.9426632368398
90,243,b'BackS025251',54.46375074895146,4022,b'BackS025251',32.1834,37.7032,5.69e-14,4.427e-14,1.92e-14,-0.0,117.71,1,1.2037e-13,-4.454493722092277,28.164262145583066
91,244,b'BackS025255',53.565114908662345,4025,b'BackS025255',32.2463,37.9426,6.179e-14,4.939e-14,2.276e-14,0.001,116.13,1,1.3393999999999998e-13,-4.402122294678124,28.32170139606613
92,248,b'BackS025339',53.69167158889545,4082,b'BackS025339',35.028,37.4668,5.286e-14,4.965e-14,3.171e-14,0.0,115.7,1,1.3422e-13,-4.409497867402301,28.00860248770134
93,250,b'BackS025363',53.818827708703374,4097,b'BackS025363',35.0241,37.5093,4.808e-14,3.648e-14,1.536e-14,0.001,116.17,1,9.991999999999999e-14,-4.416908374751578,32.398014675015084
94,252,b'BackS025411',52.21137277426766,4120,b'BackS025411',35.0093,37.4891,7.068e-14,5.422e-14,2.324e-14,0.001,114.01,1,1.4814000000000001e-13,-4.32322781401049,29.60099682724395
95,256,b'BackS025544',54.7260686333534,4197,b'BackS025544',35.31,37.5158,5.826e-14,5.259e-14,3.073e-14,0.0,115.65,1,1.4158e-13,-4.469781296242413,25.389711523513256
96,257,b'BackS025710',52.818128994770476,4242,b'BackS025710',35.1297,37.4847,7.325e-14,5.656e-14,2.472e-14,0.0,114.56,1,1.5453e-13,-4.358588844514155,27.826006186420155
97,258,b'BackS026038',54.07495538370018,4332,b'BackS026038',34.8762,37.7579,8.311e-14,7.223e-14,3.923e-14,0.0,115.75,1,1.9457e-13,-4.4318351908638025,22.632034534146623
98,259,b'BackS026242',52.69565217391304,4380,b'BackS026242',34.7637,37.3116,7.387e-14,6.363e-14,3.278e-14,-0.0,114.5,1,1.7028e-13,-4.351451041139445,26.451086626302004
99,260,b'BackS026357',53.565114908662345,4416,b'BackS026357',33.3501,25.2606,6.336e-14,4.966e-14,2.268e-14,-0.0,113.02,1,1.357e-13,-4.402122294678124,28.244604319263463
100,261,b'BackS026442',53.06479859894922,4439,b'BackS026442',33.3645,25.2526,7.361e-14,6.423e-14,3.486e-14,-0.0,114.2,1,1.727e-13,-4.37296445551401,25.68318092915902
101,263,b'BackS026680',51.73591348890153,4510,b'BackS026680',33.3629,25.2483,1.008e-13,8.409e-14,4.262e-14,0.001,114.28,1,2.2751e-13,-4.295518612645981,24.539658655624034
102,264,b'BackS026684',54.3335325762104,4512,b'BackS026684',33.3567,25.2801,5.917e-14,5.264e-14,2.934e-14,0.001,113.03,1,1.4115e-13,-4.446904761941836,26.05491608213232
103,266,b'BackS026772',54.59459459459459,4552,b'BackS026772',33.3406,25.2339,4.978e-14,4.787e-14,3.161e-14,0.0,113.76,1,1.2926e-13,-4.462119145714912,26.847800585689164
104,276,b'BackS027049',53.06479859894922,4727,b'BackS027049',33.4513,25.2049,6.443e-14,4.952e-14,2.215e-14,0.001,115.15,1,1.361e-13,-4.37296445551401,29.25010667136072
105,280,b'BackS027117',56.2152133580705,4786,b'BackS027117',33.4475,25.2024,4.657e-14,3.733e-14,1.702e-14,0.0,115.14,1,1.0092e-13,-4.5565668787477795,27.27015244067889
106,282,b'BackS027254',52.818128994770476,4839,b'BackS027254',41.1538,32.0878,8.22e-14,6.223e-14,2.583e-14,0.0,113.14,1,1.7026000000000002e-13,-4.358588844514155,26.528071368256104
107,283,b'BackS027387',52.57374204742626,4871,b'BackS027387',41.1239,32.0414,9.287e-14,7.655e-14,3.761e-14,0.0,112.27,1,2.0703e-13,-4.344346264038301,24.31388008603717
108,284,b'BackS027396',54.46375074895146,4872,b'BackS027396',41.1272,32.0418,4.343e-14,4.138e-14,2.725e-14,-0.0,112.12,1,1.1205999999999999e-13,-4.454493722092277,29.131167864934355
109,289,b'BackS028154',55.12431776834445,5140,b'BackS028154',41.1057,32.0451,5.472e-14,5.14e-14,3.162e-14,0.0,112.05,1,1.3774e-13,-4.492990781921532,25.004780673747423
110,290,b'BackS028373',52.21137277426766,5242,b'BackS028373',33.6207,25.6937,8.727e-14,6.678e-14,2.796e-14,0.0,114.53,1,1.8201e-13,-4.32322781401049,26.672448523540385
111,291,b'BackS028408',57.06214689265536,5265,b'BackS028408',33.6252,25.6856,4.673e-14,4.087e-14,2.33e-14,0.0,114.12,1,1.109e-13,-4.605925157310153,24.622667613045977
112,293,b'BackS028565',51.97255574614066,5343,b'BackS028565',33.6112,25.6662,1.072e-13,8.377e-14,3.7e-14,0.0,113.34,1,2.2797e-13,-4.3093098417985285,24.199189551185945
113,294,b'BackS028657',52.09169054441261,5370,b'BackS028657',33.5405,25.7721,9.039e-14,6.915e-14,2.893e-14,-0.0,113.02,1,1.8847e-13,-4.316252876073895,26.422716784191298
114,295,b'BackS028714',50.92436974789916,5389,b'BackS028714',33.4963,25.5712,1.245e-13,1.029e-13,5.072e-14,-0.0,113.81,1,2.7812000000000003e-13,-4.248222809140479,23.42507057744434
115,297,b'BackS029068',52.69565217391304,5487,b'BackS029068',33.653,25.6689,9.145e-14,7.084e-14,3.107e-14,0.0,114.37,1,1.9336e-13,-4.351451041139445,25.068895684182685
116,298,b'BackS029128',50.81050866405813,5507,b'BackS029128',33.7471,25.7413,1.151e-13,8.991e-14,3.993e-14,0.001,113.79,1,2.4494e-13,-4.241587120666537,25.25238725825606
117,299,b'BackS029398',52.331606217616574,5588,b'BackS029398',30.1164,25.6472,9.41e-14,7.215e-14,3.069e-14,0.0,112.82,1,1.9694e-13,-4.330234876013577,25.45448966222647
118,302,b'BackS030027',55.39305301645338,5788,b'BackS030027',30.1139,25.8233,4.838e-14,4.503e-14,2.828e-14,-0.001,112.63,1,1.2169e-13,-4.508652352391984,26.237524089041674
119,303,b'BackS030036',49.699289229086936,5792,b'BackS030036',30.3084,25.6091,1.339e-13,1.022e-13,4.286e-14,0.001,112.76,1,2.7895999999999995e-13,-4.176826574324354,25.518859742914348
120,304,b'BackS030070',55.93846153846154,5803,b'BackS030070',29.9958,25.536,4.273e-14,3.293e-14,1.399e-14,-0.0,112.62,1,8.965e-14,-4.540438112029859,29.57910837715109
121,305,b'BackS030123',54.85817742908872,5818,b'BackS030123',30.2386,25.6889,6.163e-14,4.767e-14,2.038e-14,0.0,112.89,1,1.2968e-13,-4.477480439651158,26.432436905267025
122,309,b'BackS030684',53.69167158889545,6033,b'BackS030684',32.0172,29.2879,7.317e-14,6.332e-14,3.411e-14,0.001,113.87,1,1.706e-13,-4.409497867402301,24.801652212708678
123,310,b'BackS030698',52.57374204742626,6042,b'BackS030698',31.9899,29.2863,6.873e-14,5.545e-14,2.515e-14,0.0,111.98,1,1.4933e-13,-4.344346264038301,28.567753690433687
124,312,b'BackS030721',52.331606217616574,6053,b'BackS030721',31.9982,29.2519,7.907e-14,7.357e-14,4.546e-14,0.0,113.08,1,1.9809999999999998e-13,-4.330234876013577,25.207639772949957
125,314,b'BackS030744',55.25835866261397,6064,b'BackS030744',32.0162,29.2828,6.622e-14,5.592e-14,2.997e-14,0.001,114.69,1,1.5211e-13,-4.500802525733693,23.758288721108425
126,315,b'BackS031020',53.188999414862494,6151,b'BackS031020',31.6403,29.6382,5.715e-14,5.466e-14,3.697e-14,0.0,112.58,1,1.4878e-13,-4.380202731269057,27.609835600201638
127,316,b'BackS031105',52.452394691286784,6173,b'BackS031105',31.9385,29.3443,7.366e-14,5.605e-14,2.4e-14,-0.0,112.61,1,1.5371e-13,-4.337274284523314,28.646729636420027
128,317,b'BackS031162',55.93846153846154,6190,b'BackS031162',31.8369,29.3749,4.926e-14,4.01e-14,1.932e-14,0.001,113.39,1,1.0868000000000001e-13,-4.540438112029859,26.804564632073706
129,318,b'BackS031172',53.69167158889545,6196,b'BackS031172',32.4201,29.3564,7.291e-14,6.217e-14,3.37e-14,0.0,112.94,1,1.6878000000000001e-13,-4.409497867402301,25.029987493866553
130,319,b'BackS031254',55.80110497237568,6221,b'BackS031254',31.953,29.411,5.264e-14,5.044e-14,3.346e-14,0.0,113.58,1,1.3654e-13,-4.532433134809823,24.12103248986974
131,320,b'BackS031606',52.818128994770476,6333,b'BackS031606',32.0658,29.0648,7.234e-14,5.678e-14,2.481e-14,-0.001,112.32,1,1.5393e-13,-4.358588844514155,27.772046493853612
132,321,b'BackS031810',58.08306709265176,6392,b'BackS031810',41.6768,36.3356,2.303e-14,2.453e-14,2.034e-14,-0.0,107.03,1,6.79e-14,-4.66542317169221,29.67834233563673
133,322,b'BackS031995',52.09169054441261,6435,b'BackS031995',41.6564,36.1993,7.465e-14,5.925e-14,2.731e-14,-0.0,107.34,1,1.6121000000000003e-13,-4.316252876073895,28.5449564411953
134,323,b'BackS032027',53.69167158889545,6444,b'BackS032027',41.6791,36.3228,5.558e-14,4.834e-14,2.63e-14,-0.001,107.11,1,1.3022e-13,-4.409497867402301,28.3855780856583
135,324,b'BackS032285',54.990925589836664,6523,b'BackS032285',41.6569,36.3652,4.928e-14,4.249e-14,2.292e-14,-0.001,108.42,1,1.1469e-13,-4.485216844492006,27.74905592584069
136,325,b'BackS032295',59.14118412491867,6528,b'BackS032295',41.6433,36.3037,2.2e-14,2.172e-14,1.566e-14,-0.001,106.93,1,5.938e-14,-4.727088973195539,29.3782284019946
137,329,b'BackS032501',50.92436974789916,6634,b'BackS032501',41.6449,36.335,9.586e-14,7.766e-14,3.618e-14,0.0,107.59,1,2.097e-13,-4.248222809140479,26.96434668668636
138,332,b'BackS032530',53.946587537091986,6660,b'BackS032530',41.7013,36.29,6.499e-14,4.953e-14,2.109e-14,-0.0,107.43,1,1.3561000000000001e-13,-4.424354065518536,27.566955377084653
139,337,b'BackS032580',55.12431776834445,6708,b'BackS032580',41.5685,36.3634,4.325e-14,4.366e-14,3.092e-14,0.0,107.93,1,1.1783000000000001e-13,-4.492990781921532,27.13080896179533
140,350,b'BackS032812',57.20578980490875,6881,b'BackS032812',41.7459,36.2363,3.64e-14,3.188e-14,1.724e-14,0.0,107.66,1,8.552e-14,-4.614296495304213,27.611665021528633
