Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0244,-37.6985,-26.9539,1.455e-17,1.274e-17,5.508e-18,59.0696,-1284.83
FrontDG0245,-37.8084,-26.9848,1.476e-17,1.201e-17,5.932e-18,54.2075,-1284.51
FrontDG0246,-37.7690,-26.9266,1.528e-17,1.267e-17,5.825e-18,45.7701,-1284.55
FrontDG0257,-3.0142,-29.0308,1.472e-17,1.262e-17,6.138e-18,108.1656,-1095.47
FrontDG0258,-2.9903,-29.0889,2.457e-17,1.830e-17,9.337e-18,77.1012,-1095.22
FrontDG0259,-2.9597,-29.1594,2.300e-17,1.810e-17,8.059e-18,67.2252,-1095.33
FrontDG0260,-2.9817,-29.0188,2.160e-17,1.633e-17,7.411e-18,62.7348,-1095.21
FrontDG0261,-3.0227,-28.9587,1.704e-17,1.334e-17,5.972e-18,76.7893,-1095.37
FrontDG0265,-23.7595,27.4434,1.146e-17,8.831e-18,4.322e-18,48.3693,-1579.31
FrontDG0266,-23.6980,27.4902,7.555e-18,6.346e-18,3.045e-18,48.5828,-1579.42
FrontDG0358,1.4020,21.6194,2.655e-17,2.063e-17,8.864e-18,84.6424,-981.24
FrontDG0359,1.4951,21.5362,2.485e-17,1.781e-17,8.809e-18,65.3623,-981.08
FrontDG0360,1.5913,21.4979,3.393e-17,3.115e-17,1.081e-17,66.8327,-981.46
FrontDG0361,1.5111,21.6042,2.619e-17,2.046e-17,8.823e-18,79.1566,-981.34
FrontDG0421,-29.9106,-29.3411,4.627e-17,3.662e-17,1.394e-17,175.6749,-1261.35
FrontDG0422,-30.0352,-29.1837,1.219e-17,9.911e-18,5.187e-18,100.4472,-1261.7
FrontDG0423,-29.8340,-28.6500,1.464e-17,1.227e-17,5.333e-18,49.3897,-1261.05
FrontDG0424,-29.5881,-29.6527,1.722e-17,1.398e-17,6.152e-18,50.8399,-1261.3
FrontDG0425,-29.8700,-29.3997,1.170e-17,9.962e-18,4.272e-18,112.1817,-1261.27
FrontDG0426,-29.7065,-29.7450,1.689e-17,1.356e-17,5.698e-18,53.7111,-1261.44
FrontDG0427,-30.2186,-28.8875,1.538e-17,1.415e-17,6.604e-18,63.6175,-1261.27
FrontDG0428,-29.9105,-29.9170,1.661e-17,1.137e-17,5.408e-18,55.0233,-1261.55
FrontDG0429,-29.7365,-29.1083,1.202e-17,9.212e-18,4.245e-18,91.1452,-1261.35
FrontDG0430,-29.8756,-29.2059,1.219e-17,9.073e-18,4.133e-18,126.9507,-1261.24
FrontDG0431,-30.3956,-29.0795,2.243e-17,1.939e-17,7.286e-18,51.394,-1261.08
FrontDG0432,-29.3319,-28.8678,1.738e-17,1.393e-17,6.352e-18,61.4214,-1261.33
FrontDG0433,-29.9965,-30.0051,1.588e-17,1.321e-17,5.318e-18,52.2749,-1261.5
FrontDG0434,-30.4409,-29.5488,1.628e-17,1.315e-17,5.723e-18,47.3223,-1261.38
FrontDG0435,-29.7742,-29.6409,1.752e-17,1.487e-17,6.414e-18,69.9929,-1261.24
FrontDG0436,-29.6221,-29.3912,1.905e-17,1.435e-17,6.862e-18,69.5445,-1261.62
FrontDG0437,-29.8901,-29.7661,1.768e-17,1.429e-17,6.385e-18,61.1282,-1261.35
FrontDG0438,-30.2305,-29.1059,1.553e-17,1.541e-17,6.335e-18,42.5635,-1261.25
FrontDG0439,-29.7556,-29.6273,1.641e-17,1.377e-17,6.710e-18,61.2314,-1261.3
FrontDG0440,-30.2306,-29.1724,1.129e-17,9.802e-18,3.794e-18,93.7354,-1261.34
FrontDG0441,-30.1835,-29.8814,1.819e-17,1.448e-17,7.280e-18,55.2394,-1261.54
FrontDG0442,-29.3496,-29.4740,1.613e-17,1.260e-17,5.916e-18,62.1842,-1261.55
FrontDG0443,-29.7546,-29.1043,1.647e-17,1.343e-17,6.044e-18,62.9748,-1261.66
FrontDG0444,-30.4809,-29.3367,1.753e-17,1.452e-17,6.485e-18,67.4244,-1260.96
FrontDG0476,2.3472,-11.1667,1.121e-17,9.066e-18,4.839e-18,52.6032,-1595.07
FrontDG0477,2.3713,-11.1844,1.105e-17,8.590e-18,3.874e-18,50.3554,-1594.83
FrontDG0478,-4.9766,6.8918,1.704e-17,1.369e-17,5.466e-18,45.773,-1501.08
FrontDG0479,-4.9734,6.9671,8.250e-18,7.154e-18,2.983e-18,49.3554,-1501.01
FrontDG0520,-19.7317,26.3678,2.922e-17,2.474e-17,8.210e-18,167.6285,-1625.31
FrontDG0521,-19.8627,26.3918,7.725e-18,5.651e-18,2.930e-18,53.2166,-1625.2
FrontDG0522,-19.8018,26.2507,1.011e-17,8.450e-18,3.934e-18,37.6627,-1625.06
FrontDG0523,-19.5272,26.3295,1.029e-17,8.450e-18,3.808e-18,40.4369,-1625.31
FrontDG0524,-19.5598,26.4385,9.278e-18,8.519e-18,3.796e-18,44.6493,-1625.15
FrontDG0525,-19.6174,26.1321,9.332e-18,7.977e-18,3.854e-18,38.1662,-1625.39
FrontDG0526,-19.8465,26.5372,9.963e-18,8.023e-18,3.499e-18,39.2621,-1625.46
FrontDG0527,-19.6284,26.2364,1.180e-17,8.210e-18,3.998e-18,49.3131,-1625.22
FrontDG0528,-19.7806,26.2784,1.015e-17,8.594e-18,4.653e-18,50.4235,-1624.99
FrontDG0529,-19.6122,26.1833,1.084e-17,9.108e-18,4.359e-18,48.0301,-1625.34
FrontDG0530,-25.1873,33.7306,1.139e-17,9.173e-18,4.060e-18,110.0636,-1220.45
FrontDG0531,-25.2196,33.5068,1.511e-17,1.283e-17,6.078e-18,53.7415,-1221.0
FrontDG0532,-25.3560,33.9357,2.314e-17,2.161e-17,7.671e-18,63.65,-1220.78
FrontDG0533,-25.2077,33.7693,1.632e-17,1.265e-17,6.392e-18,58.2514,-1220.61
FrontDG0534,-25.3933,33.8878,1.531e-17,1.361e-17,6.300e-18,50.1363,-1220.63
FrontDG0535,-25.0605,33.7825,1.806e-17,1.200e-17,6.102e-18,49.495,-1220.76
FrontDG0536,-25.1931,33.6788,1.699e-17,1.265e-17,6.067e-18,54.3439,-1220.64
FrontDG0537,5.8215,12.3901,3.644e-17,2.655e-17,9.329e-18,93.0593,-1425.97
FrontDG0538,5.7275,12.2590,1.120e-17,9.941e-18,4.385e-18,43.7577,-1425.69
FrontDG0539,5.6735,12.5073,1.319e-17,1.112e-17,4.846e-18,59.5324,-1425.93
FrontDG0540,5.7993,12.4920,1.183e-17,9.667e-18,4.241e-18,49.2572,-1425.7
FrontDG0541,5.7181,12.2566,1.255e-17,9.657e-18,4.620e-18,35.8227,-1426.04
FrontDG0542,5.8630,12.4718,1.216e-17,9.903e-18,4.316e-18,49.7668,-1426.05
FrontDG0543,5.7967,12.2361,1.203e-17,1.035e-17,4.754e-18,56.1535,-1426.2
FrontDG0544,6.0060,12.4427,1.314e-17,1.029e-17,4.528e-18,43.508,-1426.16
FrontDG0545,6.0071,12.5269,1.628e-17,1.383e-17,5.762e-18,47.2281,-1425.57
FrontDG0546,5.8712,12.2761,1.347e-17,1.085e-17,5.065e-18,47.2206,-1425.71
FrontDG0547,5.6469,12.3197,1.126e-17,1.012e-17,4.485e-18,45.5548,-1426.35
FrontDG0548,5.8333,12.1741,1.713e-17,1.487e-17,5.533e-18,52.3373,-1425.84
FrontDG0549,5.7102,12.3357,1.172e-17,9.832e-18,4.746e-18,59.5612,-1426.16
FrontDG0708,41.7132,5.5593,1.670e-17,1.321e-17,5.813e-18,147.371,-991.6
FrontDG0709,41.7989,5.6942,2.320e-17,2.021e-17,8.945e-18,52.0935,-992.0
FrontDG0710,41.7512,5.3589,2.402e-17,2.016e-17,8.849e-18,82.0566,-991.81
FrontDG0711,41.6415,5.6557,2.153e-17,1.932e-17,8.732e-18,65.662,-991.85
FrontDG0712,41.5317,5.6702,2.130e-17,2.022e-17,9.009e-18,78.4836,-991.69
FrontDG0713,41.3921,5.5314,2.671e-17,2.038e-17,8.750e-18,74.4108,-991.82
FrontDG0714,41.6330,5.4932,2.776e-17,2.064e-17,1.014e-17,67.0197,-991.86
FrontDG0743,-31.7508,-18.2117,1.376e-17,1.053e-17,4.822e-18,46.1412,-1252.49
FrontDG0744,-31.7083,-18.2551,1.940e-17,1.344e-17,6.661e-18,55.2886,-1252.48
FrontDG0745,-31.7226,-18.1558,1.950e-17,1.597e-17,7.115e-18,69.0689,-1252.36
FrontDG0748,-13.1851,1.4660,3.472e-17,2.788e-17,1.004e-17,110.8627,-1450.33
FrontDG0749,-13.2746,1.2771,1.889e-17,1.578e-17,6.515e-18,48.1217,-1450.71
FrontDG0750,-13.3930,1.5519,1.395e-17,1.109e-17,5.335e-18,58.0064,-1450.15
FrontDG0751,-13.1662,1.6005,9.650e-18,7.159e-18,3.387e-18,58.349,-1450.18
FrontDG0752,-13.0931,1.2652,1.219e-17,1.040e-17,4.524e-18,43.1328,-1450.32
FrontDG0753,-13.0681,1.4259,1.279e-17,1.059e-17,4.672e-18,51.586,-1450.52
FrontDG0754,-13.1775,1.4356,9.199e-18,8.756e-18,4.286e-18,88.6325,-1450.17
FrontDG0755,-13.1357,1.5760,1.242e-17,1.062e-17,4.904e-18,69.0399,-1450.63
FrontDG0756,-13.2957,1.5735,1.244e-17,1.156e-17,4.367e-18,47.9479,-1450.57
FrontDG0757,-12.9847,1.3652,1.209e-17,1.032e-17,4.693e-18,46.5307,-1450.23
FrontDG0758,-12.9873,1.4879,1.229e-17,1.218e-17,5.317e-18,57.6576,-1450.38
FrontDG0759,-13.2307,1.6636,1.409e-17,1.159e-17,5.593e-18,56.6448,-1450.2
FrontDG0760,-13.1971,1.4151,1.368e-17,1.147e-17,5.655e-18,50.9941,-1450.39
FrontDG0814,14.3023,-22.2062,7.595e-18,5.714e-18,3.181e-18,101.6148,-1558.02
FrontDG0815,14.3612,-22.1064,1.057e-17,9.947e-18,4.296e-18,44.1687,-1557.81
FrontDG0816,14.4061,-22.2091,1.267e-17,1.022e-17,4.680e-18,49.465,-1557.65
FrontDG0817,14.1733,-22.1009,1.577e-17,1.328e-17,5.776e-18,44.6322,-1557.67
FrontDG0818,14.3136,-22.1330,1.176e-17,9.939e-18,4.326e-18,53.7445,-1557.65
FrontDG0819,14.3928,-22.3401,1.087e-17,8.388e-18,4.265e-18,44.7948,-1557.44
FrontDG0820,14.2923,-22.1892,1.223e-17,1.024e-17,4.683e-18,50.1355,-1557.59
FrontDG0821,0.8221,-7.9370,5.675e-17,4.258e-17,1.377e-17,107.3784,-1173.99
FrontDG0822,0.8254,-8.0513,2.153e-17,1.540e-17,7.248e-18,57.0587,-1173.93
FrontDG0823,0.9728,-8.0073,1.816e-17,1.515e-17,6.499e-18,66.0666,-1174.06
FrontDG0824,0.7440,-8.0403,2.837e-17,2.119e-17,9.001e-18,62.0221,-1174.56
FrontDG0825,1.0036,-8.0042,1.540e-17,1.159e-17,5.185e-18,73.1013,-1174.5
FrontDG0826,0.6968,-7.9506,1.925e-17,1.751e-17,7.605e-18,87.3983,-1174.14
FrontDG0827,0.9013,-7.8473,1.692e-17,1.506e-17,7.175e-18,49.1018,-1174.24
FrontDG0828,0.9684,-7.9170,1.942e-17,1.507e-17,7.605e-18,60.8455,-1174.02
FrontDG0829,0.7977,-8.1292,2.017e-17,1.622e-17,7.117e-18,59.3929,-1174.01
FrontDG0830,0.7358,-7.7672,1.787e-17,1.486e-17,7.105e-18,52.3043,-1174.22
FrontDG0831,0.7285,-7.8707,1.509e-17,1.320e-17,5.764e-18,107.6717,-1174.21
FrontDG0840,4.6736,-26.8857,1.057e-17,8.151e-18,3.806e-18,100.4013,-1362.95
FrontDG0841,4.7335,-26.8786,1.653e-17,1.298e-17,5.607e-18,58.8289,-1363.1
FrontDG0842,4.6247,-27.0385,1.412e-17,1.111e-17,5.585e-18,47.7478,-1362.83
FrontDG0843,4.5510,-26.7012,1.368e-17,1.145e-17,4.767e-18,40.5645,-1363.0
FrontDG0844,4.5747,-26.7545,9.035e-18,7.921e-18,3.664e-18,69.2333,-1363.12
FrontDG0845,4.6570,-26.7473,9.905e-18,8.299e-18,3.663e-18,65.809,-1362.94
FrontDG0846,4.7772,-26.7063,1.377e-17,1.115e-17,5.048e-18,49.1292,-1362.82
FrontDG0847,4.8181,-26.9397,1.378e-17,1.214e-17,5.273e-18,51.382,-1363.23
FrontDG0977,-37.9668,40.0598,2.594e-17,1.785e-17,6.779e-18,134.8024,-1701.71
FrontDG0978,-37.7533,40.0399,6.964e-18,5.939e-18,2.569e-18,82.4658,-1701.56
FrontDG0979,-37.9440,40.3159,8.741e-18,7.177e-18,3.340e-18,39.9794,-1701.62
FrontDG0980,-37.5804,39.8467,6.048e-18,5.141e-18,2.401e-18,35.6785,-1701.86
FrontDG0981,-38.1629,40.0027,9.098e-18,7.218e-18,3.245e-18,30.9213,-1701.7
FrontDG0982,-38.0513,39.9386,8.930e-18,7.906e-18,3.351e-18,32.4783,-1701.35
FrontDG0983,-38.0821,40.2632,5.819e-18,4.979e-18,2.256e-18,43.3993,-1701.37
FrontDG0984,-37.9479,39.7538,5.917e-18,5.170e-18,2.338e-18,49.6102,-1701.81
FrontDG0985,-38.0466,40.1919,8.691e-18,7.018e-18,3.521e-18,38.654,-1701.69
FrontDG0986,-37.7582,39.8128,1.312e-17,9.631e-18,4.347e-18,41.273,-1701.47
FrontDG0987,-37.6492,39.8675,7.864e-18,6.408e-18,3.206e-18,38.9849,-1701.95
FrontDG0988,-38.0196,39.9332,9.546e-18,7.581e-18,3.924e-18,42.212,-1701.8
FrontDG0989,-38.3878,40.2662,8.627e-18,6.708e-18,3.104e-18,37.413,-1702.07
FrontDG0990,-38.3207,40.1777,9.329e-18,8.084e-18,3.790e-18,44.9069,-1701.98
FrontDG0991,-37.8834,39.7753,8.598e-18,8.033e-18,3.855e-18,45.1276,-1701.87
FrontDG1018,22.7652,26.3986,1.619e-17,1.306e-17,6.055e-18,73.8867,-1054.29
FrontDG1019,22.7014,26.3196,1.678e-17,1.418e-17,5.944e-18,122.7746,-1054.24
FrontDG1020,22.7535,26.3136,2.352e-17,2.022e-17,9.081e-18,76.1062,-1054.41
FrontDG1021,4.6640,-6.2336,9.296e-18,7.643e-18,3.338e-18,59.2182,-1388.95
FrontDG1125,-30.4055,-12.3393,1.510e-17,1.272e-17,5.983e-18,141.3439,-1052.43
FrontDG1126,-30.3798,-12.5318,1.578e-17,1.274e-17,5.451e-18,81.9477,-1052.94
FrontDG1127,-30.4696,-12.5256,2.349e-17,1.903e-17,8.799e-18,68.3725,-1052.96
FrontDG1128,-30.5850,-12.3743,2.182e-17,1.765e-17,7.563e-18,59.6904,-1052.7
FrontDG1129,-30.4827,-12.2899,2.195e-17,1.598e-17,7.978e-18,72.1878,-1052.8
FrontDG1130,-30.1850,-12.4316,1.952e-17,1.823e-17,7.845e-18,71.5243,-1052.55
FrontDG1131,-30.4024,-12.5364,2.236e-17,1.798e-17,7.974e-18,61.2643,-1052.72
FrontDG1132,-30.3396,-12.2582,2.168e-17,1.785e-17,8.047e-18,67.3149,-1052.96
FrontDG1133,13.7825,-19.8527,3.143e-17,2.803e-17,8.720e-18,140.8969,-1589.19
FrontDG1134,13.8390,-19.6649,1.029e-17,9.007e-18,4.008e-18,47.6799,-1589.36
FrontDG1135,13.5932,-19.8564,1.411e-17,1.035e-17,4.997e-18,51.218,-1589.45
FrontDG1136,13.7112,-20.0658,9.773e-18,9.182e-18,4.369e-18,47.5111,-1589.48
FrontDG1137,13.6329,-19.7182,1.052e-17,9.099e-18,4.461e-18,41.2076,-1589.46
FrontDG1138,13.9567,-19.9030,1.171e-17,1.035e-17,4.177e-18,53.3191,-1589.31
FrontDG1139,13.5896,-19.7699,1.116e-17,9.526e-18,4.199e-18,47.6717,-1589.71
FrontDG1140,14.0098,-19.7904,1.643e-17,1.328e-17,5.101e-18,46.6677,-1589.47
FrontDG1141,13.7171,-19.7087,1.296e-17,1.062e-17,4.254e-18,66.6767,-1589.35
FrontDG1142,13.6917,-19.6842,1.163e-17,1.106e-17,4.605e-18,51.1138,-1589.56
FrontDG1143,13.7375,-19.8348,7.451e-18,5.621e-18,3.045e-18,94.6334,-1589.52
FrontDG1144,5.0853,-24.3248,8.607e-18,6.897e-18,3.186e-18,75.311,-1414.32
FrontDG1145,5.0604,-24.2215,1.377e-17,1.058e-17,5.043e-18,54.0491,-1414.14
FrontDG1146,5.1774,-24.3646,1.306e-17,1.115e-17,5.361e-18,49.6077,-1414.58
FrontDG1147,5.0579,-24.4356,1.401e-17,1.108e-17,5.172e-18,58.7608,-1414.54
FrontDG1148,4.9792,-24.3520,1.199e-17,1.026e-17,4.588e-18,42.3087,-1414.22
FrontDG1149,44.2398,30.0772,9.992e-18,8.650e-18,3.571e-18,64.3755,-1322.42
FrontDG1342,-18.7503,-12.5330,1.934e-17,1.572e-17,7.126e-18,173.5488,-890.43
FrontDG1343,-18.8977,-12.4552,2.866e-17,2.298e-17,1.003e-17,70.3407,-890.32
FrontDG1344,-18.5444,-12.6740,4.166e-17,3.019e-17,1.337e-17,67.6656,-890.33
FrontDG1345,-18.5765,-12.3933,3.068e-17,2.545e-17,1.189e-17,91.9069,-890.19
FrontDG1346,-18.9183,-12.4953,2.980e-17,2.185e-17,1.004e-17,73.005,-890.32
FrontDG1347,-19.0047,-12.5010,2.731e-17,2.315e-17,1.078e-17,68.9548,-890.35
FrontDG1348,-18.9457,-12.5493,4.200e-17,3.705e-17,1.335e-17,81.9782,-890.31
FrontDG1349,34.8125,-5.9598,3.886e-17,3.340e-17,1.087e-17,139.9061,-1399.47
FrontDG1350,34.6473,-6.2675,1.547e-17,1.225e-17,5.268e-18,47.4931,-1399.24
FrontDG1351,34.5365,-5.8700,1.853e-17,1.597e-17,6.630e-18,53.8958,-1399.74
FrontDG1352,34.8807,-5.6610,1.007e-17,8.295e-18,4.030e-18,82.0272,-1399.45
FrontDG1353,34.6490,-6.3130,1.436e-17,1.181e-17,4.827e-18,50.4296,-1399.67
FrontDG1354,34.6353,-5.5225,1.518e-17,1.221e-17,5.600e-18,67.0848,-1399.61
FrontDG1355,34.6267,-6.0636,1.577e-17,1.124e-17,5.710e-18,59.5859,-1399.95
FrontDG1356,34.1611,-5.8718,1.482e-17,1.286e-17,6.229e-18,49.6154,-1399.7
FrontDG1357,34.3959,-6.0318,9.979e-18,8.192e-18,3.816e-18,82.1645,-1399.43
FrontDG1358,34.7076,-6.3361,9.325e-18,7.757e-18,3.622e-18,60.3043,-1399.89
FrontDG1359,34.5307,-6.0741,1.503e-17,1.301e-17,5.774e-18,51.1286,-1400.0
FrontDG1360,34.6836,-6.2833,1.500e-17,1.272e-17,6.113e-18,51.4606,-1399.67
FrontDG1361,34.5123,-6.1013,1.150e-17,9.622e-18,4.226e-18,98.0852,-1399.35
FrontDG1362,34.9911,-5.8677,1.537e-17,1.278e-17,6.070e-18,62.6233,-1399.5
FrontDG1363,34.9583,-6.1568,1.352e-17,1.099e-17,4.994e-18,45.9168,-1399.42
FrontDG1364,35.2694,-5.9707,1.635e-17,1.156e-17,5.332e-18,59.9578,-1399.67
FrontDG1365,34.7458,-6.1768,1.446e-17,1.125e-17,4.832e-18,56.6406,-1399.67
FrontDG1366,34.5228,-5.6633,9.961e-18,7.685e-18,3.805e-18,46.9077,-1399.64
FrontDG1367,35.2662,-5.7532,1.424e-17,1.146e-17,5.319e-18,45.8933,-1399.62
FrontDG1368,34.6714,-5.8638,1.482e-17,1.136e-17,5.763e-18,62.7707,-1399.9
FrontDG1369,35.0655,-5.6377,1.501e-17,9.862e-18,5.355e-18,47.283,-1399.62
FrontDG1370,34.8719,-5.9292,9.506e-18,8.564e-18,4.065e-18,131.7234,-1399.28
FrontDG1371,35.1971,-6.3984,1.608e-17,1.350e-17,6.264e-18,49.4465,-1399.76
FrontDG1372,34.2570,-5.6653,1.328e-17,1.075e-17,5.718e-18,53.9205,-1399.26
FrontDG1373,33.5128,10.9306,2.731e-17,1.928e-17,9.694e-18,76.044,-1018.13
FrontDG1374,33.3931,11.0124,3.223e-17,2.708e-17,1.208e-17,70.2678,-1018.14
FrontDG1375,33.5281,10.9817,2.398e-17,1.853e-17,8.507e-18,69.8192,-1018.31
FrontDG1376,33.5599,11.0001,2.185e-17,2.113e-17,7.699e-18,64.0001,-1018.06
FrontDG1397,35.9277,6.6992,7.392e-18,6.260e-18,2.838e-18,49.0863,-1655.92
