,Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
98,BackDG0340,25.4939,0.8409,1.871e-17,1.666e-17,7.287e-18,62.2712,-1092.43
99,BackDG0341,25.5172,0.659,2.127e-17,1.958e-17,8.623e-18,74.7585,-1092.54
100,BackDG0342,25.2112,0.4186,2.155e-17,1.888e-17,8.04e-18,70.4411,-1092.36
101,BackDG0343,25.1577,0.4476,2.03e-17,1.641e-17,7.229e-18,58.8096,-1092.4
102,BackDG0344,25.4591,0.8263,2.212e-17,1.75e-17,8.113e-18,69.9204,-1092.38
103,BackDG0345,25.281,0.6744,2.167e-17,1.874e-17,7.477e-18,66.1748,-1092.5
104,BackDG0346,25.4119,0.6546,1.467e-17,1.139e-17,5.915e-18,100.0925,-1092.48
105,BackDG0347,25.3708,0.78,2.032e-17,1.647e-17,7.885e-18,60.6358,-1092.46
106,BackDG0348,25.5016,0.77,2.107e-17,1.83e-17,8.237e-18,67.7207,-1092.02
107,BackDG0349,25.3871,0.7039,2.182e-17,1.782e-17,8.514e-18,68.8771,-1092.1
108,BackDG0350,25.3807,1.1133,3.083e-17,2.221e-17,9.165e-18,60.1874,-1092.21
109,BackDG0362,-43.4717,17.8435,2.243e-17,1.754e-17,6.731e-18,122.7888,-1842.27
110,BackDG0363,-43.7288,17.5608,9.228e-18,7.271e-18,3.555e-18,39.11,-1842.23
111,BackDG0364,-43.7568,18.1255,1.284e-17,1.023e-17,4.23e-18,36.1664,-1842.17
112,BackDG0365,-43.3376,17.9029,7.928e-18,6.638e-18,3.118e-18,36.0236,-1842.48
113,BackDG0366,-43.071,17.4793,5.87e-18,4.531e-18,2.348e-18,36.5301,-1842.22
114,BackDG0367,-42.7694,17.7037,5.798e-18,4.969e-18,2.282e-18,46.5032,-1842.09
115,BackDG0368,-43.0901,17.7867,5.348e-18,4.552e-18,2.095e-18,48.9583,-1842.35
116,BackDG0369,-42.9702,17.6915,9.175e-18,7.324e-18,3.327e-18,42.0319,-1842.0
117,BackDG0370,-42.913,17.988,6.097e-18,5.141e-18,2.308e-18,40.9239,-1841.79
118,BackDG0371,-43.6916,17.5364,8.999e-18,6.85e-18,3.595e-18,45.1791,-1842.26
119,BackDG0372,-42.8261,17.4787,8.606e-18,6.944e-18,3.474e-18,45.6855,-1842.13
120,BackDG0373,-43.1812,18.1638,8.251e-18,6.739e-18,3.358e-18,44.3011,-1842.15
121,BackDG0374,-43.856,17.6838,7.538e-18,7.08e-18,3.083e-18,39.4735,-1842.33
122,BackDG0375,-43.6542,17.7674,5.236e-18,5.02e-18,2.325e-18,58.227,-1842.21
123,BackDG0376,-43.0955,17.6505,7.685e-18,6.298e-18,3.265e-18,34.8595,-1842.51
124,BackDG0377,-43.2957,17.867,8.519e-18,6.741e-18,2.818e-18,37.5116,-1842.2
125,BackDG0378,-43.2528,17.4611,9.269e-18,6.714e-18,3.498e-18,45.9624,-1842.1
126,BackDG0379,-43.6585,18.1203,9.329e-18,7.522e-18,3.647e-18,47.006,-1842.2
127,BackDG0380,-42.8678,17.4791,8.884e-18,7.699e-18,3.49e-18,39.9739,-1842.08
128,BackDG0381,-43.8556,17.7916,8.954e-18,7.24e-18,3.671e-18,45.4191,-1842.49
129,BackDG0382,-43.3939,17.5313,8.475e-18,7.355e-18,3.523e-18,40.3777,-1842.42
130,BackDG0383,-43.807,17.5834,1.308e-17,9.356e-18,4.302e-18,45.1256,-1842.25
131,BackDG0384,-43.1587,18.0715,9.142e-18,7.398e-18,3.602e-18,44.3953,-1842.19
132,BackDG0385,-43.2694,17.7116,8.8e-18,6.836e-18,3.38e-18,46.8862,-1842.06
133,BackDG0386,-42.8014,17.6431,7.759e-18,7.494e-18,3.542e-18,47.1154,-1841.99
134,BackDG0387,-43.5809,18.1098,7.751e-18,7.154e-18,3.305e-18,38.624,-1842.03
135,BackDG0388,-43.7822,17.7685,7.908e-18,7.44e-18,2.952e-18,33.5977,-1842.05
136,BackDG0470,28.5683,5.5784,9.96e-18,8.693e-18,4.006e-18,97.4082,-1449.83
137,BackDG0471,28.612,5.6014,9.799e-18,7.811e-18,3.248e-18,49.2418,-1449.81
138,BackDG0472,28.4616,5.6189,1.277e-17,1.056e-17,4.553e-18,43.4681,-1449.56
139,BackDG0473,28.3918,5.5781,1.252e-17,1.114e-17,5.014e-18,50.0912,-1450.05
140,BackDG0474,28.7233,5.5706,1.227e-17,9.486e-18,4.905e-18,45.775,-1449.95
141,BackDG0475,28.5092,5.6866,9.651e-18,7.517e-18,3.542e-18,53.9127,-1449.66
142,BackDG0571,16.4642,3.7392,3.733e-17,2.874e-17,1.122e-17,156.693,-1350.53
143,BackDG0572,16.3498,3.7213,1.425e-17,1.054e-17,4.479e-18,42.2127,-1350.45
144,BackDG0573,16.5512,3.7368,1.314e-17,1.067e-17,4.751e-18,48.5911,-1350.4
145,BackDG0574,16.5177,3.7218,1.42e-17,1.279e-17,5.693e-18,52.2802,-1350.09
146,BackDG0575,16.1831,3.6386,1.88e-17,1.6e-17,6.801e-18,52.0014,-1350.64
147,BackDG0576,16.5306,3.7994,2.102e-17,1.61e-17,5.877e-18,55.5104,-1350.57
148,BackDG0577,16.5759,3.8941,1.308e-17,1.093e-17,5.119e-18,56.9797,-1350.5
149,BackDG0578,16.4818,3.5852,9.824e-18,7.871e-18,3.54e-18,58.2822,-1350.77
150,BackDG0579,16.4997,3.5851,1.026e-17,8.751e-18,3.877e-18,80.7229,-1350.72
151,BackDG0580,16.5242,3.6893,1.382e-17,1.08e-17,4.636e-18,45.5208,-1350.26
152,BackDG0581,16.5701,3.5524,1.36e-17,1.21e-17,5.589e-18,64.3559,-1350.71
153,BackDG0582,16.3246,3.5818,1.302e-17,9.86e-18,5.254e-18,51.5916,-1350.39
154,BackDG0583,16.4078,3.6731,1.273e-17,1.097e-17,5.387e-18,53.04,-1350.68
155,BackDG0584,16.315,3.8041,1.034e-17,8.066e-18,3.757e-18,62.0444,-1350.13
156,BackDG0585,16.5181,3.5889,1.437e-17,1.066e-17,4.926e-18,38.0162,-1350.13
157,BackDG0586,16.7292,3.7715,1.09e-17,7.998e-18,3.978e-18,60.5785,-1350.61
158,BackDG0602,14.2528,27.0401,5.629e-18,4.888e-18,2.289e-18,76.0405,-1823.37
159,BackDG0603,14.1374,27.0189,8.989e-18,6.92e-18,3.629e-18,47.5761,-1823.07
160,BackDG0604,14.3184,27.0394,7.964e-18,6.92e-18,3.363e-18,39.8113,-1823.24
161,BackDG0605,14.2351,26.9786,7.829e-18,6.859e-18,3.133e-18,38.0047,-1823.61
162,BackDG0606,14.3448,27.1108,1.19e-17,9.963e-18,4.478e-18,39.3819,-1823.53
163,BackDG0607,14.2967,26.9476,7.901e-18,6.593e-18,3.209e-18,38.6879,-1823.44
164,BackDG0608,14.3688,27.0407,9.204e-18,7.275e-18,3.352e-18,52.8783,-1823.01
165,BackDG0609,14.2697,26.9049,8.54e-18,7.08e-18,3.174e-18,42.9008,-1823.03
166,BackDG0610,14.1322,26.9975,8.028e-18,6.651e-18,3.345e-18,37.7836,-1823.44
167,BackDG0634,41.8701,-34.2491,2.976e-17,2.306e-17,7.729e-18,127.8351,-1629.24
168,BackDG0635,41.9268,-34.387,8.743e-18,6.528e-18,3.407e-18,81.6973,-1629.33
169,BackDG0636,42.0173,-34.2374,1.075e-17,7.729e-18,3.959e-18,43.7107,-1629.33
170,BackDG0637,41.7713,-34.1856,7.585e-18,6.061e-18,2.325e-18,123.3072,-1629.55
171,BackDG0638,41.7944,-33.9502,1.19e-17,9.963e-18,4.551e-18,49.9379,-1629.35
172,BackDG0639,42.6219,-34.6456,7.632e-18,6.725e-18,2.907e-18,60.0192,-1629.66
173,BackDG0640,41.8198,-34.4128,9.424e-18,8.384e-18,3.72e-18,40.8715,-1629.39
174,BackDG0641,41.999,-34.661,1.239e-17,1.02e-17,4.426e-18,54.7183,-1629.5
175,BackDG0642,42.4909,-34.1415,1.059e-17,8.297e-18,3.855e-18,48.9436,-1629.32
176,BackDG0643,41.1342,-33.7152,9.267e-18,8.886e-18,4.04e-18,49.4228,-1629.21
177,BackDG0644,41.3517,-33.8508,1.034e-17,8.198e-18,3.765e-18,44.1647,-1629.43
178,BackDG0645,42.0205,-33.9148,1.054e-17,7.781e-18,3.707e-18,44.5795,-1629.72
179,BackDG0646,42.1885,-34.9984,1.134e-17,8.656e-18,4.108e-18,51.2752,-1629.28
180,BackDG0647,42.1425,-34.4965,7.102e-18,6.085e-18,2.831e-18,100.071,-1629.39
181,BackDG0648,42.068,-34.1173,6.507e-18,5.799e-18,2.866e-18,89.9083,-1629.43
182,BackDG0649,41.4568,-33.6859,6.427e-18,5.881e-18,2.837e-18,60.5784,-1629.41
183,BackDG0650,41.1202,-34.2038,1e-17,7.978e-18,3.841e-18,44.9443,-1628.99
184,BackDG0651,41.7181,-34.4811,1.067e-17,9.133e-18,4.366e-18,46.5009,-1629.28
185,BackDG0652,41.5618,-33.8707,1.045e-17,8.727e-18,4.175e-18,40.0777,-1629.55
186,BackDG0653,41.2339,-33.7877,7.503e-18,6.538e-18,2.863e-18,44.2135,-1629.45
187,BackDG0654,41.8187,-34.4434,1.175e-17,9.381e-18,4.362e-18,50.0318,-1629.13
188,BackDG0655,42.4968,-34.6744,9.805e-18,8.665e-18,3.961e-18,40.2725,-1629.14
189,BackDG0656,42.4286,-34.485,1.395e-17,1.119e-17,5.31e-18,48.4512,-1629.55
190,BackDG0657,42.2103,-34.419,1.213e-17,9.759e-18,4.424e-18,50.627,-1629.18
191,BackDG0658,41.2094,-33.626,9.821e-18,8.205e-18,3.605e-18,44.1583,-1629.54
192,BackDG0659,41.3963,-34.4418,7.289e-18,6.175e-18,3.068e-18,46.0915,-1629.1
193,BackDG0660,42.2046,-34.1742,1.059e-17,8.973e-18,3.686e-18,46.9863,-1629.5
194,BackDG0661,41.5718,-33.5154,9.521e-18,7.741e-18,3.871e-18,40.4445,-1629.36
195,BackDG0662,42.3335,-34.084,9.616e-18,8.061e-18,4.108e-18,42.5895,-1629.12
196,BackDG0706,-4.0102,9.0726,8.403e-18,6.961e-18,3.365e-18,37.5332,-1881.12
197,BackDG0707,-4.0088,9.0282,7.32e-18,6.78e-18,2.926e-18,33.0117,-1881.03
198,BackDG0771,-38.1058,-3.3552,1.016e-17,7.887e-18,3.749e-18,53.7262,-1341.86
199,BackDG0781,-3.2308,-15.5844,4.442e-17,3.332e-17,1.167e-17,120.4902,-1328.03
200,BackDG0782,-3.2071,-15.6066,1.419e-17,1.223e-17,6.08e-18,48.1955,-1328.32
201,BackDG0783,-3.4292,-15.4994,1.826e-17,1.369e-17,6.604e-18,56.5813,-1328.37
202,BackDG0784,-3.4619,-15.6538,1.651e-17,1.553e-17,6.17e-18,55.2792,-1328.23
203,BackDG0785,-3.1939,-15.637,1.483e-17,1.213e-17,5.608e-18,52.6026,-1328.09
204,BackDG0786,-3.193,-15.6715,1.61e-17,1.321e-17,5.681e-18,75.3348,-1328.13
205,BackDG0787,-3.2727,-15.7633,1.524e-17,1.229e-17,5.033e-18,53.8755,-1327.99
206,BackDG0788,-3.143,-15.4847,1.583e-17,1.405e-17,6.07e-18,66.8403,-1328.13
207,BackDG0789,-3.0271,-15.4269,1.516e-17,1.169e-17,6.016e-18,50.4332,-1328.18
208,BackDG0790,-3.3037,-15.6625,1.46e-17,1.174e-17,5.529e-18,51.9328,-1327.86
209,BackDG0791,-3.226,-15.4757,1.575e-17,1.201e-17,5.914e-18,52.9702,-1327.69
210,BackDG0792,-3.1633,-15.4972,1.395e-17,1.253e-17,5.764e-18,56.0709,-1328.33
211,BackDG0793,-3.1473,-15.694,1.671e-17,1.302e-17,6.343e-18,55.2196,-1327.88
212,BackDG0794,-3.3179,-15.5705,1.483e-17,1.282e-17,5.634e-18,47.9648,-1328.0
213,BackDG0811,-37.2294,8.8097,8.318e-18,6.412e-18,3.065e-18,54.2721,-1573.65
214,BackDG0940,-7.141,-13.7716,8.348e-18,7.211e-18,3.01e-18,72.8056,-1611.93
215,BackDG0941,-7.1038,-13.723,1.126e-17,8.979e-18,4.117e-18,43.056,-1611.84
216,BackDG0942,-7.1859,-13.6768,1.195e-17,9.053e-18,4.68e-18,51.4463,-1612.16
217,BackDG0943,-7.1043,-13.8544,1.028e-17,8.92e-18,3.649e-18,44.3666,-1612.05
218,BackDG0944,-7.1419,-13.7356,9.508e-18,8.093e-18,4.212e-18,38.3035,-1611.71
219,BackDG0945,-7.042,-13.7152,1.122e-17,9.728e-18,4.365e-18,54.8306,-1611.97
220,BackDG0946,-16.0029,10.7163,3.155e-17,2.491e-17,8.675e-18,142.8208,-1610.5
221,BackDG0947,-15.9985,10.8248,7.641e-18,6.481e-18,2.649e-18,114.7595,-1610.49
222,BackDG0948,-16.4007,10.7647,1.11e-17,9.882e-18,4.346e-18,45.1878,-1610.63
223,BackDG0949,-16.319,10.8194,1.23e-17,9.639e-18,4.296e-18,50.6414,-1610.56
224,BackDG0950,-15.8521,10.686,6.592e-18,5.745e-18,2.628e-18,55.5113,-1610.63
225,BackDG0951,-15.8196,10.4065,1.191e-17,9.692e-18,4.39e-18,48.9194,-1610.56
226,BackDG0952,-16.0407,10.459,1.158e-17,8.69e-18,4.278e-18,42.3076,-1610.6
227,BackDG0953,-15.6155,10.3959,1.153e-17,9.548e-18,4.311e-18,51.2536,-1610.41
228,BackDG0954,-15.8214,10.9502,1.193e-17,9.714e-18,4.153e-18,54.9686,-1610.52
229,BackDG0955,-15.7436,10.4649,6.757e-18,5.545e-18,2.831e-18,63.3219,-1610.66
230,BackDG0956,-15.5386,10.6374,1.052e-17,8.515e-18,3.676e-18,36.1183,-1610.46
231,BackDG0957,-15.748,10.7361,1.088e-17,8.954e-18,4.471e-18,30.8513,-1610.19
232,BackDG0958,-15.8173,10.8233,1.532e-17,1.143e-17,5.317e-18,46.7474,-1610.85
233,BackDG0959,-15.8847,10.6815,7.137e-18,5.744e-18,2.516e-18,56.6862,-1610.58
234,BackDG0960,-16.3632,10.756,1.081e-17,8.474e-18,4.281e-18,40.3749,-1610.82
235,BackDG0961,-15.9566,10.8343,1.035e-17,8.663e-18,3.956e-18,45.3529,-1610.7
236,BackDG0962,-15.9466,10.5123,1.189e-17,1.004e-17,4.392e-18,56.0314,-1610.6
237,BackDG0963,-16.1506,10.9729,9.557e-18,7.658e-18,4.132e-18,41.6164,-1610.8
238,BackDG0964,-15.6969,10.6131,1.048e-17,8.501e-18,4.04e-18,40.4567,-1610.61
239,BackDG0965,-15.8225,10.9483,1.125e-17,1.026e-17,4.812e-18,41.5927,-1610.2
240,BackDG0966,-16.037,10.8441,1.11e-17,8.771e-18,4.15e-18,48.0263,-1610.36
241,BackDG0967,-16.3636,10.5872,1.081e-17,9.232e-18,3.805e-18,37.7519,-1610.34
242,BackDG0968,-16.3019,10.5152,1.194e-17,9.332e-18,4.294e-18,46.4631,-1610.48
243,BackDG0969,-15.9801,10.6676,7.321e-18,6.075e-18,2.777e-18,71.8322,-1610.46
244,BackDG0970,-15.9522,10.5742,1.131e-17,8.937e-18,3.964e-18,46.4145,-1610.38
245,BackDG0971,-15.9616,11.0137,1.129e-17,9.161e-18,4.056e-18,54.8423,-1610.87
246,BackDG0972,-16.2591,10.4949,9.399e-18,8.941e-18,3.941e-18,36.9132,-1610.89
247,BackDG0973,-16.2319,11.0034,1.119e-17,8.818e-18,3.688e-18,37.2184,-1610.63
248,BackDG0974,-15.8526,10.5765,7.359e-18,6.582e-18,3.022e-18,75.1722,-1610.81
249,BackDG0975,-16.0343,10.407,1.143e-17,8.055e-18,4.003e-18,47.058,-1610.7
250,BackDG0976,-16.4543,10.9677,1.123e-17,9.443e-18,3.965e-18,42.6605,-1610.58
251,BackDG1024,-8.5264,-5.5837,1.182e-17,1.049e-17,4.864e-18,69.1897,-1232.67
252,BackDG1090,1.4853,-11.5551,1.647e-17,1.522e-17,6.474e-18,55.3127,-1152.52
253,BackDG1091,1.4304,-11.5627,1.72e-17,1.496e-17,6.381e-18,52.4815,-1152.43
254,BackDG1092,1.5362,-11.591,1.811e-17,1.484e-17,6.837e-18,70.2108,-1152.79
255,BackDG1093,1.5151,-11.4763,1.858e-17,1.579e-17,7.197e-18,73.4874,-1152.52
256,BackDG1176,6.0166,-10.4048,1.545e-17,1.417e-17,6.381e-18,70.8349,-1231.56
257,BackDG1177,5.9146,-10.3649,1.741e-17,1.35e-17,6.129e-18,70.8219,-1231.75
258,BackDG1178,6.0199,-10.3333,1.816e-17,1.429e-17,6.537e-18,53.2427,-1231.48
259,BackDG1201,19.6443,42.9576,5.742e-18,4.943e-18,2.203e-18,123.7112,-1758.53
260,BackDG1202,19.5672,42.8698,9.394e-18,7.96e-18,3.88e-18,46.941,-1758.0
261,BackDG1203,19.7555,42.898,8.491e-18,7.036e-18,3.115e-18,44.3162,-1758.35
262,BackDG1204,19.6127,42.8582,9.221e-18,7.125e-18,2.942e-18,34.3378,-1758.07
263,BackDG1205,19.6775,43.1643,8.997e-18,8.212e-18,3.607e-18,45.1985,-1758.21
264,BackDG1206,19.8017,43.1134,6.369e-18,5.844e-18,2.37e-18,43.8362,-1758.46
265,BackDG1207,19.5406,42.8222,8.465e-18,7.593e-18,3.284e-18,48.8406,-1758.22
266,BackDG1208,19.783,42.9794,8.065e-18,6.929e-18,3.661e-18,41.1278,-1757.94
267,BackDG1209,19.7605,42.8651,8.564e-18,7.108e-18,3.422e-18,37.6823,-1758.28
268,BackDG1238,2.5903,-16.4777,3.607e-17,2.743e-17,9.424e-18,166.7897,-1443.02
269,BackDG1239,2.7013,-16.5789,1.246e-17,1.035e-17,4.748e-18,47.0456,-1442.87
